상품명,가격,링크
삼성 <b>노트북</b> 플러스2 업무용 재택근무 저렴한 인강용 사무용 싼 가성비 <b>노트북</b> 한컴오피스,499000,https://search.shopping.naver.com/gate.nhn?id=82592250321
삼성전자 갤럭시북 프로360 NT950QDY-A51A,1440000,https://search.shopping.naver.com/gate.nhn?id=26962413523
삼성전자 갤럭시북 NT761XDZ-G78A,1599000,https://search.shopping.naver.com/gate.nhn?id=31553768618
LG전자 그램17 17ZD90P-GX56K,1210470,https://search.shopping.naver.com/gate.nhn?id=25886897522
삼성전자 <b>노트북</b> 플러스2 NT550XDA-K14A,468000,https://search.shopping.naver.com/gate.nhn?id=26529080523
삼성전자 갤럭시북2 프로 NT950XEV-G51A,1599000,https://search.shopping.naver.com/gate.nhn?id=31302646618
LG전자 LG그램 16ZD95P-GX56K,1274590,https://search.shopping.naver.com/gate.nhn?id=30244840618
삼성전자 갤럭시북2 NT750XEW-A71A,1349000,https://search.shopping.naver.com/gate.nhn?id=32655657619
LG전자 LG그램 15ZD95P-GX56K,1178860,https://search.shopping.naver.com/gate.nhn?id=30244441618
삼성전자 <b>노트북</b> 플러스2 NT550XDZ-AD5A,699000,https://search.shopping.naver.com/gate.nhn?id=28482155554
LG전자 LG그램 17Z95P-GA76K,1746580,https://search.shopping.naver.com/gate.nhn?id=30244036618
LG전자 울트라PC 15UD40Q-GX30K,530150,https://search.shopping.naver.com/gate.nhn?id=30001810618
삼성전자 갤럭시북2 NT750XEW-A51A,1049000,https://search.shopping.naver.com/gate.nhn?id=32655347621
삼성전자 갤럭시북 프로360 NT950QDB-K71A,1582520,https://search.shopping.naver.com/gate.nhn?id=26955662522
삼성전자 갤럭시북2 프로 NT930XEW-A51A,1399000,https://search.shopping.naver.com/gate.nhn?id=31302647618
LG전자 LG그램 17ZD90Q-EX76K,2048180,https://search.shopping.naver.com/gate.nhn?id=31433706618
LG전자 그램360 16TD90P-GXF6K,1377940,https://search.shopping.naver.com/gate.nhn?id=30314779618
삼성전자 갤럭시북2 프로 NT950XEW-A51A,1499000,https://search.shopping.naver.com/gate.nhn?id=31313654618
삼성전자 갤럭시북 NT750XDZ-A51A,898990,https://search.shopping.naver.com/gate.nhn?id=27175663523
레노버 Slim3 15ITL 5D,579000,https://search.shopping.naver.com/gate.nhn?id=27126083522
삼성전자 갤럭시북2 프로360 NT950QEW-A51A,1899000,https://search.shopping.naver.com/gate.nhn?id=31319663618
LG전자 LG그램 17ZD90Q-EX56K,1924790,https://search.shopping.naver.com/gate.nhn?id=31420570618
LG전자 그램16 16ZD90P-GX56K,1268930,https://search.shopping.naver.com/gate.nhn?id=25833665522
Apple 맥북 에어 2020년형 M1 256G 스페이스 그레이 (MGN63KH/A),1282700,https://search.shopping.naver.com/gate.nhn?id=26101847522
LG전자 그램17 17ZD90P-GX76K,1418990,https://search.shopping.naver.com/gate.nhn?id=25862548522
디클 클릭북 D141+,259000,https://search.shopping.naver.com/gate.nhn?id=10776767442
2022년형 512GB이벤트 ASUS TUF 게이밍 게임 고사양 17인치 영상편집 <b>노트북</b>,1099000,https://search.shopping.naver.com/gate.nhn?id=83231392156
삼성전자 갤럭시북2 프로 NT950XEE-X71A,1999000,https://search.shopping.naver.com/gate.nhn?id=31319676618
LG전자 LG그램 15ZD90Q-GX56K,1497900,https://search.shopping.naver.com/gate.nhn?id=32865124618
삼성전자 갤럭시북2 프로360 NT950QED-K71A,2199880,https://search.shopping.naver.com/gate.nhn?id=31302323618
디클 클릭북 D14 Win11,299000,https://search.shopping.naver.com/gate.nhn?id=32267152618
한성컴퓨터 TFX5560U,769000,https://search.shopping.naver.com/gate.nhn?id=30629666618
삼성전자 갤럭시북2 NT550XEZ-A58A,799000,https://search.shopping.naver.com/gate.nhn?id=32914807618
삼성전자 <b>노트북</b> 플러스2 NT550XDA-K78A,1168000,https://search.shopping.naver.com/gate.nhn?id=25403427522
ASUS 비보북 X513EA-BQ031,635630,https://search.shopping.naver.com/gate.nhn?id=24684470526
삼성전자 갤럭시북 프로360 NT930QDY-A51A,1349000,https://search.shopping.naver.com/gate.nhn?id=26963354522
삼성전자 갤럭시북 NT750XDA-X71A,1349000,https://search.shopping.naver.com/gate.nhn?id=29327500618
Apple 맥북 에어 2020년형 M1 256G 실버 (MGN93KH/A),1310000,https://search.shopping.naver.com/gate.nhn?id=25039820524
삼성전자 갤럭시북 프로360 NT950QDB-KC72N,1580180,https://search.shopping.naver.com/gate.nhn?id=29313451618
레노버 Slim3 14ALC R5,453150,https://search.shopping.naver.com/gate.nhn?id=27395557522
<b>노트북</b>렌탈 게이밍 삼성 갤럭시북 LG그램 가정용 초경량 5년약정,39500,https://search.shopping.naver.com/gate.nhn?id=33282265279
LG전자 그램16 16ZD90P-GX76K,1312800,https://search.shopping.naver.com/gate.nhn?id=25798691522
LG전자 울트라PC 15UD50Q-GX50K,813990,https://search.shopping.naver.com/gate.nhn?id=33190489618
디클 클릭북 D17,369000,https://search.shopping.naver.com/gate.nhn?id=20335123909
한성컴퓨터 TFG7576XG,1659000,https://search.shopping.naver.com/gate.nhn?id=28511626554
LG전자 LG그램 17ZD90Q-GX76K,1969100,https://search.shopping.naver.com/gate.nhn?id=31409836618
삼성전자 갤럭시북 NT750XDZ-AM58S,747990,https://search.shopping.naver.com/gate.nhn?id=30528779620
디클 클릭북 D14u Win11,359000,https://search.shopping.naver.com/gate.nhn?id=31081235618
디클 클릭북 D11 plus,289000,https://search.shopping.naver.com/gate.nhn?id=29651098618
한성컴퓨터 올데이롱 TFX5556U,929000,https://search.shopping.naver.com/gate.nhn?id=31946629619
LG전자 그램360 16TD90Q-GX56K,1764000,https://search.shopping.naver.com/gate.nhn?id=31452540618
LG전자 울트라PC 15UD50P-KX70K,1028990,https://search.shopping.naver.com/gate.nhn?id=26279388522
한성컴퓨터 TFG7277LC,2749000,https://search.shopping.naver.com/gate.nhn?id=32133256619
LG전자 그램360 14TD90P-GX5GK,1210300,https://search.shopping.naver.com/gate.nhn?id=30378381618
LG전자 LG그램 16Z95P-GA56K,1558000,https://search.shopping.naver.com/gate.nhn?id=30244655618
LG전자 울트라PC 15U50P-GR5SK,866990,https://search.shopping.naver.com/gate.nhn?id=30678348619
삼성전자 갤럭시북2 프로 NT930XED-K71A,1849000,https://search.shopping.naver.com/gate.nhn?id=31313651618
삼성전자 삼성 NT350XCR-A58M,590000,https://search.shopping.naver.com/gate.nhn?id=25151436528
ASUS ROG Flow Z13 GZ301ZE-LC032W,2599000,https://search.shopping.naver.com/gate.nhn?id=32548467618
LG전자 LG그램 16ZD90Q-EX56K,1808000,https://search.shopping.naver.com/gate.nhn?id=31437074618
LG전자 LG그램 15Z95P-GA76K,1558990,https://search.shopping.naver.com/gate.nhn?id=30244322618
삼성전자 갤럭시북2 프로 NT950XEE-XC71S,1839990,https://search.shopping.naver.com/gate.nhn?id=31470692618
LG전자 LG그램 14ZD95P-GX50K,1186350,https://search.shopping.naver.com/gate.nhn?id=30427923619
삼성전자 갤럭시북2 프로360 NT950QED-KC71G,2014790,https://search.shopping.naver.com/gate.nhn?id=31516220621
LG전자 LG그램 17ZD95P-GX76K,1502990,https://search.shopping.naver.com/gate.nhn?id=30281736619
삼성전자 갤럭시북2 프로360 NT930QEW-A51A,1749000,https://search.shopping.naver.com/gate.nhn?id=31318157619
레노버 아이디어패드 Slim3-15ITL 3D,429000,https://search.shopping.naver.com/gate.nhn?id=27377480528
LG전자 울트라PC 15UD40Q-GX50K,737680,https://search.shopping.naver.com/gate.nhn?id=30073734618
LG전자 LG그램 16ZD95P-GX76K,1386490,https://search.shopping.naver.com/gate.nhn?id=30244720618
LG전자 LG그램 17Z90Q-EA76K,2454490,https://search.shopping.naver.com/gate.nhn?id=31433694618
LG전자 울트라PC 15UD50P-GX30K,560300,https://search.shopping.naver.com/gate.nhn?id=25916227522
LG전자 울트라PC 13UD70Q-GX30K,578890,https://search.shopping.naver.com/gate.nhn?id=29894664618
삼성전자 <b>노트북</b> 플러스2 NT550XDZ-AD1A,449000,https://search.shopping.naver.com/gate.nhn?id=25313173522
삼성전자 <b>노트북</b> 플러스2 NT550XDA-K24A,549000,https://search.shopping.naver.com/gate.nhn?id=26760806522
LG전자 LG그램 16Z95P-GA76K,1648990,https://search.shopping.naver.com/gate.nhn?id=30244741618
LG전자 울트라PC 15UD50P-GX50K,791890,https://search.shopping.naver.com/gate.nhn?id=25915882523
Apple 맥북 에어 2022년 M2 8코어 CPU 및 8코어 GPU 256G 미드나이트 (MLY33KH/A),1622400,https://search.shopping.naver.com/gate.nhn?id=33092527619
LG전자 LG그램 16ZD95P-GX5LK,1293580,https://search.shopping.naver.com/gate.nhn?id=30366898618
LG전자 울트라PC 15U40Q-GR5SK,770990,https://search.shopping.naver.com/gate.nhn?id=30587232619
MSI Sword GF76 A11UE 블랙,1408990,https://search.shopping.naver.com/gate.nhn?id=28091732525
LG전자 그램360 14TD90Q-GX5PK,1678000,https://search.shopping.naver.com/gate.nhn?id=32454618618
LG전자 LG그램 16ZD90Q-GX56K,1652930,https://search.shopping.naver.com/gate.nhn?id=31438965618
삼성전자 <b>노트북</b> 플러스2 NT560XDZ-G78A,1398990,https://search.shopping.naver.com/gate.nhn?id=25312407522
디클 클릭북 D15 4GB Win10,309000,https://search.shopping.naver.com/gate.nhn?id=27490065522
삼성전자 갤럭시북 S NT767XCM-K38,798000,https://search.shopping.naver.com/gate.nhn?id=23878612522
ASUS 비보북프로 15 OLED K3500PC-L1154,1086940,https://search.shopping.naver.com/gate.nhn?id=30001057620
삼성전자 삼성 NT350XCR-AD5WA,689390,https://search.shopping.naver.com/gate.nhn?id=23487605490
삼성전자 갤럭시북 프로 NT950XDB-KC59S,1314590,https://search.shopping.naver.com/gate.nhn?id=29328943621
LG전자 LG그램 16ZD90Q-EX76K,1954000,https://search.shopping.naver.com/gate.nhn?id=31422839622
삼성전자 <b>노트북</b> 플러스2 NT550XDZ-AD5AW,698990,https://search.shopping.naver.com/gate.nhn?id=25312635522
삼성전자 갤럭시북 프로 NT950XDC-X71A,1648990,https://search.shopping.naver.com/gate.nhn?id=26963856522
LG전자 울트라PC 16UD70Q-GX56K,998990,https://search.shopping.naver.com/gate.nhn?id=33517289618
마이크로소프트 서피스 프로8 8PT-00030,1725000,https://search.shopping.naver.com/gate.nhn?id=30496630618
삼성전자 갤럭시북 프로 NT950XDX-G51A,1299000,https://search.shopping.naver.com/gate.nhn?id=26964275522
ASUS 비보북프로 15 OLED M3500QC-L1110,1099000,https://search.shopping.naver.com/gate.nhn?id=33743102618
LG전자 울트라PC 14U390-ME1TK,378990,https://search.shopping.naver.com/gate.nhn?id=23642473490
